Artista,Canción,Popularidad
Fonseca,Te Mando Flores,9
San Joe,Topo do Mundo,18
Fonseca,Arroyito,3
Juanes,Fuego,2
Juanes,Para Tu Amor,2
Juanes,Mis Planes Son Amarte,1
Juanes,Es Tarde,1
Sebastian Yatra,Alguien Robo,2
Sebastian Yatra,Devuélveme El Corazón,3
Sebastian Yatra,Como Mirarte,2
Sebastian Yatra,Traicionera,3
Morat,Cómo Te Atreves,1
Morat,"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""",1
Morat,Besos En Guerra,1
Morat,Cuánto Me Duele,1
Cali Y El Dandee,Yo Te Esperaré,2
Cali Y El Dandee,Lumbra,1
Cali Y El Dandee,Por Fin Te Encontré,2
Sanalejo,El Diablo,1
Sebastian Yatra,Ya No Tiene Novio,2
Feid,BORRAXXA,5
Sebastian Yatra,Runaway,3
Feid,PORFA,2
Sebastian Yatra,Chica Ideal,6
Feid,911,2
Feid,FRESH KERIAS,3
Lele Pons,Se Te Nota,7
Danna Paola,Polo A Tierra,1
Yera,Fantasma,2
Yera,No Copia,5
Joey Montana,Picky,4
Sebastian Yatra,Traicionera,3
Feid,badwine - Remix,1
Sebastian Yatra,Runaway,2
Sebastian Yatra,Chica Ideal,4
Feid,BORRAXXA,3
Feid,911,1
Feid,FRESH KERIAS,2
Feid,PORFA,2
Feid,Perfecta,1
Greeicy,Los Besos,2
Greeicy,Más Fuerte,2
Lele Pons,Se Te Nota,4
Yera,Fantasma,2
Farina,Mucho Pa Ti,2
Don Omar,Te Recordaré Bailando,3
Don Omar,Te Quiero Pa´Mi,4
Jerry Di,Mi Cuarto,5
Yera,No Copia,2
Don Omar,Te Quiero Pa´Mi,2
